player,position,team,age,club,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_assist,npxg_xg_assist,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90
Ederson,GK,Brazil,29-123,Manchester City,1993,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Edimilson Fernandes,FW,Switzerland,26-247,Mainz 05,1996,3,1,145,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.4,0.02,0.21,0.23,0.02,0.23
Edinson Cavani,FW,Uruguay,35-307,Valencia,1987,3,1,124,1.4,0,0,0,0,0,1,0,0,0,0,0,0,0.3,0.3,0.7,1,0.21,0.5,0.71,0.21,0.71
Edouard Mendy,GK,Senegal,30-292,Chelsea,1992,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01
Edson Álvarez,MF,Mexico,25-055,Ajax,1997,2,2,175,1.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.2,0.2,0.01,0.11,0.12,0.01,0.12
Eduardo Camavinga,DF,France,20-038,Real Madrid,2002,2,1,140,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.11,0.11,0,0.11
Ehsan Hajsafi,MF,IR Iran,32-296,AEK Athens,1990,3,3,237,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,0.06,0.08,0.15,0.06,0.15
Ellyes Skhiri,MF,Tunisia,27-222,Köln,1995,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.02,0.05,0.07,0.02,0.07
Emiliano Martínez,GK,Argentina,30-107,Aston Villa,1992,7,7,690,7.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enner Valencia,FW,Ecuador,33-044,Fenerbahçe,1989,3,3,255,2.8,3,0,2,1,1,0,0,1.06,0,1.06,0.71,0.71,2.3,1.5,0.3,1.8,0.8,0.1,0.9,0.52,0.62
Enzo Ebosse,DF,Cameroon,23-282,Udinese,1999,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enzo Fernández,MF,Argentina,21-335,Benfica,2001,7,5,564,6.3,1,1,1,0,0,1,0,0.16,0.16,0.32,0.16,0.32,0.3,0.3,0.9,1.2,0.05,0.16,0.21,0.05,0.21
Eray Cömert,DF,Switzerland,24-317,Valencia,1998,2,0,46,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eric Dier,DF,England,28-337,Tottenham,1994,2,0,36,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eric Maxim Choupo-Moting,FW,Cameroon,33-270,Bayern Munich,1989,3,3,253,2.8,1,0,1,0,0,0,0,0.36,0,0.36,0.36,0.36,0.8,0.8,0,0.9,0.29,0.02,0.31,0.29,0.31
Erick Gutiérrez,MF,Mexico,27-186,PSV Eindhoven,1995,1,0,49,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethan Ampadu,MF,Wales,22-095,Spezia,2000,3,3,255,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.01,0.04,0.05,0.01,0.05
Everton Ribeiro,MF,Brazil,33-252,Flamengo,1989,1,0,36,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.21,0.21,0,0.21
Exequiel Palacios,MF,Argentina,24-074,Leverkusen,1998,3,0,50,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.12,0.12,0.24,0.12,0.24
Fabian Frei,MF,Switzerland,33-344,Basel,1989,2,0,25,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fabian Rieder,FW,Switzerland,20-305,Young Boys,2002,2,1,68,0.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.2,0.2,0,0.25,0.25,0,0.25
Fabian Schär,DF,Switzerland,30-363,Newcastle Utd,1991,2,2,135,1.5,0,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0,0.1,0.09,0,0.09,0.09,0.09
Fabinho,MF,Brazil,29-056,Liverpool,1993,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Facundo Pellistri,MF,Uruguay,20-363,Manchester Utd,2001,3,2,181,2,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,0.08,0.09,0.17,0.08,0.17
Famara Diedhiou,FW,Senegal,30-003,Alanyaspor,1992,2,1,92,1,1,0,1,0,0,0,0,0.98,0,0.98,0.98,0.98,0.2,0.2,0,0.2,0.19,0.03,0.22,0.19,0.22
Federico Valverde,MF,Uruguay,24-149,Real Madrid,1998,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.4,0.6,0.06,0.14,0.2,0.06,0.2
Ferjani Sassi,MF,Tunisia,30-275,Al Duhail SC,1992,2,0,48,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.04,0,0.04,0.04,0.04
Ferrán Torres,FW,Spain,22-292,Barcelona,2000,4,3,217,2.4,2,0,1,1,1,0,0,0.83,0,0.83,0.41,0.41,1,0.2,0.2,0.4,0.42,0.07,0.5,0.1,0.17
Filip Kostić,DF,Serbia,30-047,Juventus,1992,2,2,179,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.01,0.02,0.03,0.01,0.03
Filip Mladenović,DF,Serbia,31-125,Legia Warsaw,1991,1,1,65,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0.03,0.03,0.03
Filip Đuričić,MF,Serbia,30-322,Sampdoria,1992,2,0,14,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0.23,0,0.23
Firas Al-Buraikan,MF,Saudi Arabia,22-218,Al-Fateh,2000,3,3,268,3,0,1,0,0,0,0,0,0,0.34,0.34,0,0.34,0.1,0.1,0.1,0.2,0.04,0.02,0.06,0.04,0.06
Fodé Ballo-Touré,DF,Senegal,25-349,Milan,1997,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fran Karačić,DF,Australia,26-220,Brescia,1996,2,1,93,1,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,0.17,0.09,0.27,0.17,0.27
Francisco Calvo,DF,Costa Rica,30-163,Konyaspor,1992,2,2,180,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01
Fred,MF,Brazil,29-288,Manchester Utd,1993,4,2,142,1.6,0,0,0,0,0,1,0,0,0,0,0,0,0.3,0.3,0.2,0.6,0.23,0.16,0.39,0.23,0.39
Frenkie de Jong,MF,Netherlands,25-220,Barcelona,1997,5,5,475,5.3,1,1,1,0,0,1,0,0.19,0.19,0.38,0.19,0.38,0.9,0.9,0.2,1.1,0.18,0.04,0.22,0.18,0.22
Félix Torres Caicedo,DF,Ecuador,25-341,Santos,1997,3,3,270,3,0,1,0,0,0,0,0,0,0.33,0.33,0,0.33,0.1,0.1,0.4,0.6,0.04,0.15,0.19,0.04,0.19
Gabriel Jesus,FW,Brazil,25-259,Arsenal,1997,3,1,93,1,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.2,0.6,0.35,0.23,0.58,0.35,0.58
Garang Kuol,FW,Australia,18-094,Central Coast,2004,2,0,37,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0,0.4,0.92,0,0.92,0.92,0.92
Gareth Bale,FW,Wales,33-155,Los Angeles FC,1989,3,3,225,2.5,1,0,0,1,1,1,0,0.4,0,0.4,0,0,0.8,0,0.2,0.2,0.32,0.08,0.41,0.01,0.09
Gavi,MF,Spain,18-135,Barcelona,2004,4,4,284,3.2,1,0,1,0,0,0,0,0.32,0,0.32,0.32,0.32,0.1,0.1,0.1,0.2,0.04,0.03,0.07,0.04,0.07
Gaël Ondoua,MF,Cameroon,27-044,Hannover 96,1995,2,0,47,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georges-Kévin N'Koudou,FW,Cameroon,27-308,Beşiktaş,1995,2,0,27,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0.13,0.13,0.13
Germán Pezzella,DF,Argentina,31-174,Betis,1991,3,0,60,0.7,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0,0.1,0.24,0,0.24,0.24,0.24
Gerson Torres,MF,Costa Rica,25-112,Club Sport Herediano,1997,1,1,64,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.02,0.02,0.02
Ghaylène Chaalali,MF,Tunisia,28-293,Espérance de Tunis,1994,1,0,17,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gideon Mensah,DF,Ghana,24-153,Auxerre,1998,1,1,87,1,0,1,0,0,0,0,0,0,1.03,1.03,0,1.03,0,0,0.3,0.3,0,0.28,0.28,0,0.28
Gio Reyna,FW,United States,20-035,Dortmund,2002,2,0,53,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.2,0.1,0.28,0.38,0.1,0.38
Giorgian De Arrascaeta,MF,Uruguay,28-200,Flamengo,1994,2,1,108,1.2,2,0,2,0,0,0,0,1.67,0,1.67,1.67,1.67,1.2,1.2,0.5,1.7,1.01,0.45,1.45,1.01,1.45
Gleison Bremer,DF,Brazil,25-275,Juventus,1997,2,1,109,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0.14,0,0.14,0.14,0.14
Gonzalo Montiel,DF,Argentina,25-351,Sevilla,1997,4,1,118,1.3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0.3,0.4,0.02,0.42,0.44,0.02,0.44
Gonzalo Plata,MF,Ecuador,22-047,Valladolid,2000,3,3,269,3,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0.05,0.06,0.11,0.05,0.11
Gonçalo Ramos,FW,Portugal,21-181,Benfica,2001,4,2,152,1.7,3,1,3,0,0,0,0,1.78,0.59,2.37,1.78,2.37,1.6,1.6,0.4,1.9,0.93,0.21,1.13,0.93,1.13
Granit Xhaka,MF,Switzerland,30-082,Arsenal,1992,4,4,360,4,0,0,0,0,0,1,0,0,0,0,0,0,0.3,0.3,0.1,0.4,0.08,0.02,0.1,0.08,0.1
Gregor Kobel,GK,Switzerland,25-012,Dortmund,1997,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grzegorz Krychowiak,MF,Poland,32-323,Al-Shabab,1990,4,4,332,3.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.2,0.2,0.01,0.05,0.05,0.01,0.05
Guido Rodríguez,MF,Argentina,28-250,Betis,1994,1,1,56,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guillermo Ochoa,GK,Mexico,37-158,América,1985,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guillermo Varela,DF,Uruguay,29-269,Flamengo,1993,3,2,183,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.05,0.05,0,0.05
Haji Wright,FW,United States,24-266,Antalyaspor,1998,4,1,137,1.5,1,0,1,0,0,0,0,0.66,0,0.66,0.66,0.66,0.5,0.5,0,0.6,0.35,0.02,0.37,0.35,0.37
Hakim Ziyech,FW,Morocco,29-274,Chelsea,1993,7,7,635,7.1,1,1,1,0,0,0,0,0.14,0.14,0.28,0.14,0.28,0.4,0.4,0.7,1.1,0.06,0.1,0.16,0.06,0.16
Hannibal Mejbri,MF,Tunisia,19-331,Birmingham City,2003,1,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haris Seferović,FW,Switzerland,30-299,Galatasaray,1992,3,0,71,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0.24,0.03,0.27,0.24,0.27
Harry Kane,FW,England,29-143,Tottenham,1993,5,5,402,4.5,2,3,1,1,2,0,0,0.45,0.67,1.12,0.22,0.9,2.7,1.1,1.5,2.6,0.6,0.34,0.94,0.25,0.59
Harry Maguire,DF,England,29-288,Manchester Utd,1993,5,5,429,4.8,0,1,0,0,0,1,0,0,0.21,0.21,0,0.21,0.4,0.4,0,0.4,0.08,0.01,0.09,0.08,0.09
Harry Souttar,DF,Australia,24-057,Stoke City,1998,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.02,0.01,0.03,0.02,0.03
Harry Wilson,MF,Wales,25-271,Fulham,1997,3,2,160,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.5,0.6,0.05,0.28,0.33,0.05,0.33
Hassan Al Tambakti,DF,Saudi Arabia,23-312,Al-Shabab,1999,2,2,180,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hassan Al-Haydos,MF,Qatar,32-007,Al Sadd SC,1990,3,3,206,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.6,0.01,0.27,0.27,0.01,0.27
Hattan Bahebri,MF,Saudi Arabia,30-155,Al-Shabab,1992,2,0,4,0,0,1,0,0,0,1,0,0,22.5,22.5,0,22.5,0,0,0.6,0.6,0,14.37,14.37,0,14.37
Henry Martín,FW,Mexico,30-030,América,1992,2,2,146,1.6,1,0,1,0,0,0,0,0.62,0,0.62,0.62,0.62,0.9,0.9,0.2,1.1,0.57,0.13,0.7,0.57,0.7
Hernán Galíndez,GK,Ecuador,35-263,SD Aucas,1987,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hidemasa Morita,MF,Japan,27-222,Sporting CP,1995,3,3,285,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.2,0.05,0.03,0.08,0.05,0.08
Hiroki Ito,DF,Japan,23-220,Stuttgart,1999,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0.09,0,0.09
Hiroki Sakai,MF,Japan,32-250,Urawa Reds,1990,2,1,119,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.1,0.6,0.54,0.07,0.61,0.54,0.61
Hirving Lozano,FW,Mexico,27-141,Napoli,1995,3,3,252,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,1,1.2,0.07,0.36,0.42,0.07,0.42
Homam Ahmed,DF,Qatar,23-115,Al-Gharafa Sports Club,1999,3,3,262,2.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01
Hong Chul,DF,Korea Republic,32-092,Daegu,1990,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.13,0.13,0,0.13
Hossein Hosseini,GK,IR Iran,30-171,Esteghlal,1992,2,1,161,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hossein Kanaanizadegan,DF,IR Iran,28-270,Al Ahli SC,1994,1,0,45,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hugo Lloris,GK,France,35-357,Tottenham,1986,6,6,570,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hwang Hee-chan,MF,Korea Republic,26-326,Wolves,1996,2,1,115,1.3,1,0,1,0,0,1,0,0.78,0,0.78,0.78,0.78,0.9,0.9,0,1,0.72,0.03,0.75,0.72,0.75
Hwang In-beom,MF,Korea Republic,26-089,Olympiacos,1996,4,4,334,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,0.06,0.02,0.08,0.06,0.08
Hwang Ui-jo,FW,Korea Republic,30-112,Olympiacos,1992,4,1,106,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,0.4,0,0.4,0.4,0.4
Héctor Herrera,MF,Mexico,32-243,Houston Dynamo,1990,2,2,160,1.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.06,0.06,0,0.06
Héctor Moreno,DF,Mexico,34-335,Monterrey,1988,3,3,270,3,0,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0,0.2,0.06,0.01,0.07,0.06,0.07
Ibrahima Konaté,DF,France,23-207,Liverpool,1999,5,3,294,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.4,0.7,0.12,0.12,0.23,0.12,0.23
Idrissa Gana Gueye,MF,Senegal,33-083,Everton,1989,3,3,270,3,0,0,0,0,0,2,0,0,0,0,0,0,0.3,0.3,0.1,0.4,0.11,0.03,0.14,0.11,0.14
Ilias Chair,MF,Morocco,25-049,QPR,1997,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iliman Ndiaye,FW,Senegal,22-287,Sheffield Utd,2000,3,2,135,1.5,0,1,0,0,0,0,0,0,0.67,0.67,0,0.67,0.1,0.1,0.2,0.3,0.09,0.14,0.22,0.09,0.22
Ismail Jakobs,DF,Senegal,23-123,Monaco,1999,4,3,278,3.1,0,1,0,0,0,1,0,0,0.32,0.32,0,0.32,0,0,0.3,0.3,0,0.1,0.11,0,0.11
Ismail Mohamad,FW,Qatar,32-257,Al Duhail SC,1990,2,2,174,1.9,0,1,0,0,0,1,0,0,0.52,0.52,0,0.52,,,,,,,,,
Ismaila Sarr,FW,Senegal,24-296,Watford,1998,4,4,344,3.8,1,0,0,1,1,0,0,0.26,0,0.26,0,0,1.7,0.9,0.4,1.3,0.43,0.11,0.55,0.23,0.34
Ismaël Koné,MF,Canada,20-195,CF Montréal,2002,3,0,109,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.05,0.05,0,0.05
Issam Jebali,FW,Tunisia,30-358,Odense,1991,3,2,182,2,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.2,0.7,0.26,0.08,0.34,0.26,0.34
Ivan Ilić,MF,Serbia,21-276,Hellas Verona,2001,1,0,34,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.04,0,0.04
Ivan Perišić,FW,Croatia,33-319,Tottenham,1989,7,7,669,7.4,1,3,1,0,0,0,0,0.13,0.4,0.54,0.13,0.54,0.9,0.9,0.9,1.8,0.13,0.12,0.25,0.13,0.25
Iñaki Williams,FW,Ghana,28-186,Athletic Club,1994,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.5,0.1,0.07,0.17,0.1,0.17
Jack Grealish,FW,England,27-099,Manchester City,1995,5,0,86,1,1,0,1,0,0,0,0,1.05,0,1.05,1.05,1.05,0.6,0.6,0.1,0.8,0.69,0.12,0.81,0.69,0.81
Jackson Irvine,MF,Australia,29-286,St. Pauli,1993,4,4,354,3.9,0,0,0,0,0,2,0,0,0,0,0,0,0.5,0.5,0,0.6,0.13,0.01,0.14,0.13,0.14
Jackson Porozo,DF,Ecuador,22-136,Troyes,2000,2,1,96,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.05,0,0.05,0.05,0.05
Jakub Kamiński,MF,Poland,20-196,Wolfsburg,2002,4,2,233,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.3,0.2,0.5,0.14,0.09,0.23,0.1,0.19
Jakub Kiwior,DF,Poland,22-306,Spezia,2000,4,4,355,3.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01
Jamal Musiala,MF,Germany,19-295,Bayern Munich,2003,3,3,258,2.9,0,1,0,0,0,0,0,0,0.35,0.35,0,0.35,1.9,1.9,0.9,2.8,0.67,0.3,0.97,0.67,0.97
Jamie Maclaren,FW,Australia,29-142,Melb City,1993,3,0,55,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.08,0,0.08
Jan Bednarek,DF,Poland,26-250,Aston Villa,1996,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jan Vertonghen,DF,Belgium,35-238,Anderlecht,1987,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0.06,0,0.06,0.06,0.06
Jason Cummings,FW,Australia,27-139,Central Coast,1995,1,0,35,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jawad El Yamiq,DF,Morocco,30-292,Valladolid,1992,6,3,309,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.03,0,0.03,0.03,0.03
Jean-Charles Castelletto,DF,Cameroon,27-326,Nantes,1995,2,2,180,2,1,1,1,0,0,0,0,0.5,0.5,1,0.5,1,0.9,0.9,0.3,1.2,0.47,0.15,0.62,0.47,0.62
Jeong Woo-yeong,MF,Korea Republic,23-089,Freiburg,1999,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0.06,0.06,0.06
Jeremy Doku,MF,Belgium,20-205,Rennes,2002,1,0,19,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeremy Sarmiento,MF,Ecuador,20-185,Brighton,2002,3,0,85,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.07,0.09,0.15,0.07,0.15
Jerome Ngom Mbekeli,MF,Cameroon,24-079,Colombe Sportive du Dja et Lobo,1998,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,2.23,2.23,0,2.23
Jesper Lindstrøm,MF,Denmark,22-292,Eint Frankfurt,2000,3,2,200,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0.3,0.14,0,0.14,0.14,0.14
Jesús Ferreira,FW,United States,21-359,FC Dallas,2000,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jesús Gallardo,DF,Mexico,28-125,Monterrey,1994,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.04,0.01,0.05,0.04,0.05
Jewison Bennette,MF,Costa Rica,18-186,Sunderland,2004,3,1,103,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0.04,0.04,0.04
Jhegson Méndez,MF,Ecuador,25-236,Los Angeles FC,1997,2,2,180,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.1,0.1,0,0.07,0.07,0,0.07
Joachim Andersen,DF,Denmark,26-201,Crystal Palace,1996,3,3,270,3,0,1,0,0,0,0,0,0,0.33,0.33,0,0.33,0.1,0.1,0.2,0.3,0.03,0.08,0.11,0.03,0.11
Joakim Mæhle,DF,Denmark,25-212,Atalanta,1997,3,3,249,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.01,0.01,0.03,0.01,0.03
Joe Allen,MF,Wales,32-279,Swansea City,1990,2,1,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.1,0.05,0.15,0.1,0.15
Joe Morrell,MF,Wales,25-349,Portsmouth,1997,2,0,33,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe Rodon,DF,Wales,25-057,Rennes,1997,3,3,270,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joel Campbell,FW,Costa Rica,30-175,León,1992,3,3,269,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.02,0.02,0,0.02
Johan Venegas,FW,Costa Rica,34-021,Liga Deportiva Alajuelense,1988,1,1,73,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John Stones,DF,England,28-204,Manchester City,1994,5,5,434,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.4,0.07,0.01,0.09,0.07,0.09
Jonas Hofmann,FW,Germany,30-157,M'Gladbach,1992,2,0,30,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.3,0.82,0.16,0.98,0.82,0.98
Jonathan David,FW,Canada,22-338,Lille,2000,3,2,192,2.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.7,0,0.7,0.49,0,0.49,0.35,0.35
Jonathan Osorio,MF,Canada,30-189,Toronto FC,1992,3,1,119,1.3,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0,0.1,0.05,0,0.05,0.05,0.05
Jordan Ayew,FW,Ghana,31-098,Crystal Palace,1991,3,2,136,1.5,0,1,0,0,0,0,0,0,0.66,0.66,0,0.66,0.1,0.1,0.5,0.5,0.03,0.32,0.36,0.03,0.36
Jordan Henderson,MF,England,32-184,Liverpool,1990,4,3,271,3,1,0,1,0,0,0,0,0.33,0,0.33,0.33,0.33,0.2,0.2,0.3,0.5,0.05,0.11,0.16,0.05,0.16
Jordan Morris,FW,United States,28-053,Seattle,1994,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Pickford,GK,England,28-286,Everton,1994,5,5,450,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Veretout,MF,France,29-292,Marseille,1993,1,1,62,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordi Alba,DF,Spain,33-272,Barcelona,1989,4,3,264,2.9,0,2,0,0,0,0,0,0,0.68,0.68,0,0.68,0,0,0.9,0.9,0.01,0.31,0.32,0.01,0.32
Jorge Eduardo Sánchez,DF,Mexico,25-008,Ajax,1997,2,2,175,1.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01
Josh Sargent,FW,United States,22-301,Norwich City,2000,3,2,157,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.4,0.21,0.04,0.25,0.21,0.25
Joshua Kimmich,MF,Germany,27-313,Bayern Munich,1995,3,3,270,3,0,0,0,0,0,1,0,0,0,0,0,0,0.4,0.4,1.1,1.5,0.12,0.37,0.49,0.12,0.49
Josip Juranović,DF,Croatia,27-124,Celtic,1995,6,6,600,6.7,0,1,0,0,0,0,0,0,0.15,0.15,0,0.15,0,0,0.3,0.4,0.01,0.05,0.06,0.01,0.06
Josip Stanišić,DF,Croatia,22-260,Bayern Munich,2000,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.02,0.02,0.02
Josip Šutalo,DF,Croatia,22-293,Dinamo Zagreb,2000,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
José Cifuentes,MF,Ecuador,23-281,Los Angeles FC,1999,2,0,59,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0.03,0.03,0.03
José María Giménez,DF,Uruguay,27-332,Atlético Madrid,1995,3,3,270,3,0,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0,0.2,0.06,0,0.06,0.06,0.06
